,Positive,ROI_past_ma10
0,False,
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,0,
8,0,
9,1,
10,0,
11,0,0.009392780898220604
12,0,0.00633387826410882
13,0,-0.0037447472214831995
14,1,-0.00542206962876839
15,0,0.0012185929752301292
16,0,0.0006760664222097801
17,0,-0.0017210757128850575
18,0,-0.002430033220023729
19,1,-0.0033412273039991783
20,0,-0.002743987415000498
21,1,-0.005950175515248152
22,0,-0.004808414343059486
23,0,-0.007095236410503466
24,0,-0.0077290968578360205
25,0,-0.009288910977394904
26,0,-0.01037178617270883
27,0,-0.010986444017684144
28,0,-0.011436739067243172
29,0,-0.01263302182253806
30,0,-0.012527340891709864
31,1,-0.012395190617906896
32,1,-0.00961579179343589
33,0,-0.007229074960199669
34,0,-0.00727684769060198
35,1,-0.007138196419440197
36,1,-0.0060853145589332735
37,1,-0.005020661403760984
38,0,-0.003948954524852167
39,0,-0.005133036941555718
40,1,-0.006854141060002381
41,1,-0.006147441116935046
42,0,-0.005066414797031204
43,0,-0.005949712451722429
44,0,-0.0068164763769816865
45,0,-0.007354483872377415
46,0,-0.007877262682213585
47,0,-0.008799879748257751
48,1,-0.009011151279014204
49,1,-0.008198321289190234
50,0,-0.007585933104210815
51,0,-0.008118880653108597
52,1,-0.008456400960357206
53,0,-0.007760755423586848
54,0,-0.007747571019821922
55,1,-0.008122083215610762
56,1,-0.007858928125901126
57,1,-0.006496154840814921
58,1,-0.006330836546894941
59,1,-0.0057468494932948295
60,1,-0.004588073370815923
61,1,-0.004139112142359679
62,1,-0.0040375940169795725
63,1,-0.003932679512461227
64,1,-0.0032669576714527792
65,1,-0.0024904707486019338
66,0,-0.0023399582861186883
67,1,-0.002317164768739624
68,1,-0.002138684611516278
69,0,-0.0020141216158044476
70,0,-0.002244997173161041
71,0,-0.002451602594240943
72,1,-0.0024797411858333385
73,1,-0.0024184758589010603
74,1,-0.002298794488346181
75,1,-0.0021878881245867552
76,0,-0.0013122171660458486
77,0,-0.0015409259488281086
78,0,-0.0018829109661268263
79,0,-0.0022567354620943417
80,0,-0.0024558138896710944
81,0,-0.0025721611444765287
82,0,-0.003121982299297735
83,0,-0.0037733203638249235
84,0,-0.0039355240457539424
85,0,-0.003936682900842185
86,0,-0.00391179073398309
87,1,-0.003948693482840012
88,1,-0.003505148769398182
89,0,-0.0032558786688737453
90,0,-0.0038059450111090267
91,0,-0.004570396809919661
92,0,-0.004730266805063329
93,0,-0.0048123012769016715
94,1,-0.004802840028160913
95,0,-0.004740849028082708
96,0,-0.004934142226968673
97,1,-0.004947978011713687
98,1,-0.004680266461428219
99,1,-0.004440184393699525
100,1,-0.0042439739987089505
101,0,-0.0041414488742281055
102,0,-0.005006957091492196
103,1,-0.005343197611738112
104,1,-0.005548302895651856
105,0,-0.0056100550618415025
106,1,-0.005967204402795013
107,1,-0.005755506713778808
108,1,-0.005329864640251644
109,0,-0.005170601054424681
110,0,-0.005261246012071875
111,0,-0.005140998418872849
112,1,-0.00494475276234643
113,1,-0.003706860431324113
114,1,-0.0034211216940018873
115,0,-0.004190650609819216
116,0,-0.00414610580556578
117,1,-0.0038633836402471333
118,1,-0.00336212608651441
119,1,-0.0029469677190095554
120,1,-0.0029454349255708906
121,0,-0.0022405435212612254
122,1,-0.0025298596523508866
123,1,-0.0019688253484586634
124,1,-0.0014108556665024996
125,1,-0.0006815403572221714
126,1,-0.000135248923789203
127,1,0.00016205251247425806
128,0,0.00043331270362743034
129,0,0.0008137388410537848
130,1,0.0007251222083598096
131,0,0.0008371743543215984
132,0,6.943528317876332e-05
133,0,-0.00091246083382314
134,0,-0.0010782538356617181
135,0,-0.0011120317673347913
136,0,-0.001448166947306161
137,0,-0.0020329255866913948
138,0,-0.002579048191092333
139,1,-0.0024400076437957603
140,0,-0.001593779070131569
141,1,-0.001896417713051649
142,0,-0.0022657095004118407
143,1,-0.00199332175082239
144,1,-0.0015420321689780365
145,0,-0.0011168449284067537
146,0,-0.0011298993600525214
147,0,-0.0010910549191665408
148,1,-0.000909609877301573
149,0,-0.0009665955016206945
150,1,-0.0012273208106810204
151,0,-0.0006295289550555688
152,0,-0.0005296494682368781
153,0,-0.0010561963980620988
154,0,-0.0011298612996727597
155,1,-0.0009830269588155386
156,1,-0.0007916204837602989
157,1,-0.0011124799054693653
158,0,-0.0010813110829856428
159,0,-0.001435312861016981
160,1,-0.002294778032160914
161,0,-0.0025135181699589676
162,0,-0.0026483025496379905
163,0,-0.0027766718192951223
164,1,-0.0031882315619259005
165,1,-0.0034415137764956904
166,0,-0.003425607657149713
167,0,-0.003417776509789563
168,0,-0.0035321011045617834
169,1,-0.0036713571814215203
170,1,-0.0034038107241794813
171,0,-0.0032293731874415716
172,0,-0.0032795242331272105
173,1,-0.0033393897841932957
174,1,-0.003206868368830111
175,1,-0.0029051862905340744
176,1,-0.002979574873873475
177,1,-0.002569142092222401
178,1,-0.002152524458368889
179,0,-0.001665099394937199
180,0,-0.0016358448778522568
181,0,-0.001962567884808227
182,1,-0.0014973807085104315
183,0,-0.0008452156566331109
184,1,-0.0006975216095350952
185,0,-0.0006251716489668892
186,0,-0.0006705256155950539
187,0,-0.0006665511081920438
188,0,-0.0010668444348175298
189,1,-0.00134189831757361
190,1,-0.0007665863525644263
191,1,0.00031845407545059464
192,1,0.0006783703129131533
193,1,0.0009408633306303171
194,1,0.0014375222739465246
195,0,0.0014710211970867507
196,1,0.0015844656337166514
197,0,0.001703971695915452
198,0,0.0014643992735611073
199,0,0.001135793528242953
200,0,0.0008210400457286465
201,1,0.0007371858839007973
202,1,0.001137297853561646
203,1,0.0022459491800346583
204,1,0.002485159745824455
205,1,0.002565950883334354
206,1,0.0030680226116430874
207,0,0.0028604435928676797
208,0,0.0023411012538867224
209,1,0.002188043098894924
210,0,0.0022512658764241335
211,0,0.002301713741835772
212,1,0.00216314351232767
213,1,0.0021632356525075787
214,0,0.0022328482148807915
215,0,0.0021016014187013148
216,1,0.0020851973888282548
217,0,0.002227683451023751
218,1,0.0018021023213206915
219,1,0.0017283398098382724
220,1,0.0019496592728168618
221,1,0.0021470377813442485
222,1,0.002306296381841413
223,1,0.002372733655430375
224,1,0.0020679606750264347
225,1,0.002015988255389816
226,0,0.002064272057132592
227,0,0.0019155390155251174
228,0,0.0014844357992168534
229,1,0.001316227751800764
230,0,0.0015736137986160786
231,0,0.0013563826867110903
232,0,0.0013163106515385059
233,1,0.0016075918241166105
234,1,0.0019441740919370145
235,0,0.0020306349017227576
236,0,0.001981017102244341
237,1,0.0021186390464335053
238,0,0.002359894370685285
239,0,0.0026456057706269404
240,0,0.0024211825050662076
241,1,0.002456506440545659
242,0,0.002444883898503301
243,0,0.002183067318809271
244,1,0.0018766008490330502
245,0,0.0017818328485344947
246,0,0.0018103526509237334
247,1,0.002089595155559765
248,1,0.0020958832499970454
249,1,0.0021049117989845444
250,0,0.0022031466876325646
251,1,0.0018056801527340082
252,1,0.002078028322744024
253,1,0.0026978533536649307
254,1,0.003230243558411292
255,0,0.0033854826878540133
256,1,0.003085496400864694
257,1,0.0028041067532407595
258,1,0.0030591840130264917
259,1,0.003294502581653302
260,0,0.0035731314697959858
261,0,0.00336603729772922
262,0,0.003171098411331916
263,0,0.003178234873276867
264,0,0.0030635429624609077
265,1,0.002579115131234274
266,1,0.002870101097483612
267,0,0.002946102178750298
268,1,0.002861125389848338
269,0,0.002968403231630284
270,1,0.0028064806607291585
271,0,0.002950785242349368
272,0,0.0027488393018787554
273,0,0.0023052846153941648
274,0,0.001789150005434324
275,1,0.001302438470509551
276,0,0.0007829293253747294
277,0,0.0005004030238638853
278,0,0.00023104526768932427
279,0,-0.00022937010400827097
280,1,-0.00011304822233541785
281,1,0.000478823890409345
282,1,0.0005168552322336989
283,1,0.0005144731940518138
284,1,0.0007403243276309949
285,1,0.0008661057497651092
286,0,0.001057671605655241
287,0,0.0009563403336293835
288,0,0.0007830307811554966
289,0,0.0003650102400297513
290,0,0.0001897417199640105
291,0,-0.00021758467733710236
292,0,-0.00047658425274456877
293,1,-0.0007101174138607171
294,1,-0.0006979236631180594
295,0,-0.0005590438292829075
296,0,-0.000613745908078173
297,0,-0.0008068098862636291
298,0,-0.0008485455087355653
299,0,-0.0009190042542399823
300,1,-0.0008011497756475318
301,0,-0.0007106662489445237
302,1,-0.0009390803566733389
303,1,-0.0018417120203500198
304,1,-0.002271111760736165
305,1,-0.002268564808774512
306,1,-0.0021090219727938
307,1,-0.0021316254378624016
308,1,-0.0017993349068514857
309,0,-0.001581426426445041
310,0,-0.0016504531383950086
311,0,-0.0014501279321997326
312,0,-0.0014028803675452015
313,1,-0.0015721639280431034
314,1,-0.0013477174706155689
315,0,-0.001172151190190623
316,0,-0.0011446404457953674
317,0,-0.0012587751889046898
318,0,-0.0013340052844244394
319,1,-0.0015418382043826597
320,1,-0.0018160304536284295
321,1,-0.0020001029997257914
322,1,-0.0019261985725092803
323,1,-0.0019095055389950794
324,1,-0.0018995758725184166
325,1,-0.0021172171201989153
326,0,-0.0021801773727901665
327,0,-0.002298608581230567
328,0,-0.0019610065829850473
329,1,-0.0017368395819933554
330,1,-0.0017853674732707166
331,0,-0.0015757545472193676
332,0,-0.0016866439583914637
333,0,-0.0018754548515442565
334,1,-0.002094015388429004
335,1,-0.00202344161746504
336,0,-0.0018293897657285394
337,0,-0.001765448541468145
338,1,-0.001919893370337231
339,0,-0.0017883377587374104
340,0,-0.0017878778350912136
341,0,-0.0017411188065769609
342,0,-0.0017432487156990558
343,1,-0.0014927064139445738
344,1,-0.0009747975523174508
345,0,-0.0008061497746284224
346,0,-0.0005580687110001228
347,1,-0.0004030320893725931
348,1,-0.00026857519171545456
349,0,-0.000500389591089022
350,1,-0.0006910370722269323
351,1,-0.0003728382105526897
352,1,-0.00033721631784005375
353,1,-0.0004271190010341171
354,0,-0.0005385120421791846
355,1,-0.0005640664469065898
356,1,-0.0003977648110300828
357,1,-5.953375369790112e-05
358,0,-0.0002084679724525889
359,0,-0.0003976677194292678
360,0,-0.0005249229896127747
361,0,-0.0004166394903592456
362,0,-0.00028741773142498963
363,0,-0.00025919579017730866
364,1,-0.00019694645132307904
365,1,8.676065814062176e-05
366,1,-0.00015506100005988088
367,0,-6.988370028694911e-05
368,0,-4.5512159696095134e-05
369,1,-0.00013211775202530898
370,1,0.0002154085022016928
371,1,0.000276530803018082
372,0,0.0005976736787922901
373,1,0.0009610136874018162
374,0,0.001281824815512471
375,1,0.0013662793114209216
376,1,0.0014084872656113332
377,1,0.0016359562923251563
378,1,0.0019664559583724814
379,1,0.002321486910686494
380,1,0.002379743918096814
381,1,0.0022384860444482043
382,1,0.0022188364655557594
383,1,0.0021659788382507473
384,1,0.002080462095836605
385,1,0.0020152823725755704
386,0,0.0019726001047182754
387,0,0.0020407391464574444
388,0,0.002172353111057969
389,1,0.0020786160094547535
390,0,0.00221239954063157
391,1,0.0021645088934024257
392,0,0.0022638010413591624
393,1,0.0021837025234217942
394,1,0.0017762271366352598
395,0,0.0017425129877856286
396,0,0.0018575468302548187
397,1,0.0018535487845593626
398,0,0.001934440758588778
399,0,0.0019361755897050273
400,1,0.0019820529663289125
401,1,0.002174325307327426
402,0,0.002644820292939594
403,0,0.0025205321448355054
404,1,0.002377944582440148
405,0,0.0022409894769153033
406,0,0.001654240614376775
407,0,0.0011648673103633578
408,1,0.000745149210920592
409,1,0.0008416106771273816
410,1,0.0008874557287326687
411,1,0.000990930023390451
412,1,0.001405268427592611
413,0,0.0015265457813126637
414,1,0.0011828870748050169
415,0,0.001045486926411595
416,1,0.0009028937655324056
417,1,0.000995162783487462
418,1,0.0012028752942175999
419,1,0.0013137811116648052
420,1,0.0015198617392800783
421,1,0.0017182372773773156
422,0,0.0015964127157654029
423,0,0.001314333684301969
424,1,0.001202744450427691
425,1,0.0011958390315859571
426,1,0.0011375904117101748
427,1,0.0014523547135655477
428,1,0.0015956353299454377
429,1,0.0016486745632614693
430,1,0.0017899413114135817
431,1,0.002157444117668769
432,1,0.0025900575630298166
433,1,0.0030415091288222965
434,1,0.0033870685978370845
435,1,0.0034318992826658508
436,0,0.0034001594255358364
437,0,0.003409792761184983
438,1,0.0034448487840559334
439,1,0.0036524905108308125
440,1,0.00400587981517747
441,0,0.004023256582247811
442,1,0.003901181800879383
443,1,0.004214702057120251
444,1,0.004367364397522264
445,1,0.004512339235997392
446,1,0.004724871935088152
447,1,0.004765214565067747
448,0,0.004689285443222104
449,0,0.004607210483888834
450,1,0.004390516746789769
451,1,0.004456935910551573
452,1,0.0044478754415227615
453,0,0.004313860018779303
454,1,0.003978846548366998
455,1,0.004562987690497163
456,0,0.004662019709740377
457,0,0.004179102048534147
458,1,0.003952463782106046
459,1,0.004062013903812261
460,1,0.0043947656817875675
461,1,0.004924103157351418
462,1,0.005139997873147796
463,1,0.005328593550520163
464,1,0.005625672761063922
465,0,0.0061076926402366645
466,0,0.0059071176311725196
467,0,0.005108355375173621
468,0,0.004225415155709008
469,1,0.003633785910279763
470,0,0.0034029122261567553
471,0,0.0031386997284787743
472,0,0.002466038584734117
473,0,0.0025095210850109447
474,1,0.002381497028853484
475,1,0.0027238365484322487
476,1,0.0030182888509527805
477,0,0.0033613218670338414
478,0,0.0031017626650285735
479,1,0.002933777010704387
480,1,0.003168561859324564
481,1,0.0033805256677578955
482,0,0.003400718885536643
483,0,0.0029546216911241043
484,1,0.002739779569172352
485,1,0.0029449562291001567
486,1,0.0031849790422648684
487,1,0.003529575016462382
